permno,adate,qdate,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER
15720,2018-12-31,2019-09-30,2019-11-30,-64.579,-0.016,0.176,0.069,-0.013,3.460,2.679,0.711,EIX
15720,2018-12-31,2019-09-30,2019-12-31,-70.477,-0.016,0.176,0.069,-0.013,3.460,2.679,0.711,EIX
15720,2018-12-31,2019-09-30,2020-01-31,-71.542,-0.016,0.176,0.069,-0.013,3.460,2.679,0.711,EIX
15720,2019-12-31,2019-12-31,2020-02-29,17.822,0.114,0.174,0.064,0.084,3.155,2.373,0.645,EIX
15720,2019-12-31,2019-12-31,2020-03-31,14.533,0.114,0.174,0.064,0.084,3.155,2.373,0.645,EIX
15720,2019-12-31,2019-12-31,2020-04-30,15.573,0.114,0.174,0.064,0.084,3.155,2.373,0.645,EIX
15720,2019-12-31,2020-03-31,2020-05-31,16.795,0.106,0.177,0.063,0.078,3.285,2.499,0.728,EIX
15720,2019-12-31,2020-03-31,2020-06-30,15.697,0.106,0.177,0.063,0.078,3.285,2.499,0.728,EIX
15720,2019-12-31,2020-03-31,2020-07-31,16.090,0.106,0.177,0.063,0.078,3.285,2.499,0.728,EIX
15720,2019-12-31,2020-06-30,2020-08-31,16.821,0.099,0.182,0.066,0.070,3.164,2.555,0.757,EIX
15720,2019-12-31,2020-06-30,2020-09-30,16.295,0.099,0.182,0.066,0.070,3.164,2.555,0.757,EIX
15720,2019-12-31,2020-06-30,2020-10-31,17.962,0.099,0.182,0.066,0.070,3.164,2.555,0.757,EIX
15720,2019-12-31,2020-09-30,2020-11-30,63.258,0.037,0.186,0.068,0.026,3.213,2.773,0.727,EIX
15720,2019-12-31,2020-09-30,2020-12-31,64.763,0.037,0.186,0.068,0.026,3.213,2.773,0.727,EIX
15720,2019-12-31,2020-09-30,2021-01-31,59.959,0.037,0.186,0.068,0.026,3.213,2.773,0.727,EIX
15720,2020-12-31,2020-12-31,2021-02-28,27.268,0.064,0.196,0.069,0.046,3.350,2.783,0.492,EIX
15720,2020-12-31,2020-12-31,2021-03-31,29.596,0.064,0.196,0.069,0.046,3.350,2.783,0.492,EIX
15720,2020-12-31,2020-12-31,2021-04-30,30.025,0.064,0.196,0.069,0.046,3.350,2.783,0.492,EIX
15720,2020-12-31,2021-03-31,2021-05-31,25.866,0.069,0.199,0.070,0.050,3.221,3.053,0.614,EIX
15720,2020-12-31,2021-03-31,2021-06-30,26.769,0.069,0.199,0.070,0.050,3.221,3.053,0.614,EIX
15720,2020-12-31,2021-03-31,2021-07-31,25.231,0.069,0.199,0.070,0.050,3.221,3.053,0.614,EIX
15720,2020-12-31,2021-06-30,2021-08-31,26.902,0.068,0.198,0.070,0.050,3.228,3.101,0.585,EIX
15720,2020-12-31,2021-06-30,2021-09-30,25.800,0.068,0.198,0.070,0.050,3.228,3.101,0.585,EIX
15720,2020-12-31,2021-06-30,2021-10-31,29.270,0.068,0.198,0.070,0.050,3.228,3.101,0.585,EIX
