,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
12233,48725,2022-02-28,24.719,0.299,0.428,0.183,0.233,3.486,8.066,0.618,UNP,2022,24875.0,11.24
12234,48725,2022-03-31,27.458,0.299,0.428,0.183,0.233,3.486,8.066,0.618,UNP,2022,24875.0,11.24
12235,48725,2022-04-30,23.547,0.299,0.428,0.183,0.233,3.486,8.066,0.618,UNP,2022,24875.0,11.24
12236,48725,2022-05-31,20.892,0.301,0.429,0.191,0.251,3.643,8.276,0.726,UNP,2022,24875.0,11.24
12237,48725,2022-06-30,20.274,0.301,0.429,0.191,0.251,3.643,8.276,0.726,UNP,2022,24875.0,11.24
12238,48725,2022-07-31,21.606,0.301,0.429,0.191,0.251,3.643,8.276,0.726,UNP,2022,24875.0,11.24
12239,48725,2022-08-31,20.924,0.292,0.416,0.19,0.262,3.828,8.061,0.682,UNP,2022,24875.0,11.24
12240,48725,2022-09-30,18.157,0.292,0.416,0.19,0.262,3.828,8.061,0.682,UNP,2022,24875.0,11.24
12241,48725,2022-10-31,18.373,0.292,0.416,0.19,0.262,3.828,8.061,0.682,UNP,2022,24875.0,11.24
12242,48725,2022-11-30,19.413,0.289,0.412,0.193,0.274,4.095,8.153,0.69,UNP,2022,24875.0,11.24
12243,48725,2022-12-31,18.488,0.289,0.412,0.193,0.274,4.095,8.153,0.69,UNP,2022,24875.0,11.24
12244,48725,2023-01-31,18.231,0.289,0.412,0.193,0.274,4.095,8.153,0.69,UNP,2023,24119.0,10.47
12245,48725,2023-02-28,18.491,0.281,0.402,0.19,0.269,4.381,7.875,0.716,UNP,2023,24119.0,10.47
12246,48725,2023-03-31,17.954,0.281,0.402,0.19,0.269,4.381,7.875,0.716,UNP,2023,24119.0,10.47
12247,48725,2023-04-30,17.458,0.281,0.402,0.19,0.269,4.381,7.875,0.716,UNP,2023,24119.0,10.47
12248,48725,2023-05-31,17.007,0.279,0.396,0.188,0.28,4.323,7.635,0.699,UNP,2023,24119.0,10.47
12249,48725,2023-06-30,18.076,0.279,0.396,0.188,0.28,4.323,7.635,0.699,UNP,2023,24119.0,10.47
12250,48725,2023-07-31,20.496,0.279,0.396,0.188,0.28,4.323,7.635,0.699,UNP,2023,24119.0,10.47
12251,48725,2023-08-31,20.125,0.272,0.392,0.184,0.267,4.303,7.333,0.713,UNP,2023,24119.0,10.47
12252,48725,2023-09-30,18.579,0.272,0.392,0.184,0.267,4.303,7.333,0.713,UNP,2023,24119.0,10.47
12253,48725,2023-10-31,18.943,0.272,0.392,0.184,0.267,4.303,7.333,0.713,UNP,2023,24119.0,10.47
12254,48725,2023-11-30,21.619,0.264,0.378,0.174,0.251,4.095,6.805,0.699,UNP,2023,24119.0,10.47
12255,48725,2023-12-31,23.572,0.264,0.378,0.174,0.251,4.095,6.805,0.699,UNP,2023,24119.0,10.47
12256,48725,2024-01-31,23.41,0.264,0.378,0.174,0.251,4.095,6.805,0.699,UNP,2024,24250.0,11.1
12257,48725,2024-02-29,24.277,0.264,0.379,0.173,0.24,3.54,6.828,0.812,UNP,2024,24250.0,11.1
12258,48725,2024-03-31,23.534,0.264,0.379,0.173,0.24,3.54,6.828,0.812,UNP,2024,24250.0,11.1
12259,48725,2024-04-30,22.695,0.264,0.379,0.173,0.24,3.54,6.828,0.812,UNP,2024,24250.0,11.1
12260,48725,2024-05-31,22.216,0.265,0.383,0.174,0.239,3.631,6.948,0.788,UNP,2024,24250.0,11.1
12261,48725,2024-06-30,21.59,0.265,0.383,0.174,0.239,3.631,6.948,0.788,UNP,2024,24250.0,11.1
12262,48725,2024-07-31,23.543,0.265,0.383,0.174,0.239,3.631,6.948,0.788,UNP,2024,24250.0,11.1
12263,48725,2024-08-31,24.046,0.269,0.388,0.176,0.236,3.41,7.153,0.866,UNP,2024,24250.0,11.1
12264,48725,2024-09-30,23.144,0.269,0.388,0.176,0.236,3.41,7.153,0.866,UNP,2024,24250.0,11.1
12265,48725,2024-10-31,21.791,0.269,0.388,0.176,0.236,3.41,7.153,0.866,UNP,2024,24250.0,11.1
12266,48725,2024-11-30,22.466,0.273,0.395,0.178,0.234,3.247,7.45,0.881,UNP,2024,24250.0,11.1
12267,48725,2024-12-31,20.94,0.273,0.395,0.178,0.234,3.247,7.45,0.881,UNP,2024,24250.0,11.1
12268,49154,2015-01-31,20.677,0.032,0.063,0.148,0.128,1.74,7.805,0.966,TGT,2015,73785.0,5.29
12269,49154,2015-02-28,21.581,0.032,0.063,0.148,0.128,1.74,7.805,0.966,TGT,2015,73785.0,5.29
12270,49154,2015-03-31,21.428,0.034,0.066,0.16,0.149,1.958,7.99,1.2,TGT,2015,73785.0,5.29
12271,49154,2015-04-30,20.582,0.034,0.066,0.16,0.149,1.958,7.99,1.2,TGT,2015,73785.0,5.29
12272,49154,2015-05-31,20.71,0.034,0.066,0.16,0.149,1.958,7.99,1.2,TGT,2015,73785.0,5.29
12273,49154,2015-06-30,20.718,0.035,0.068,0.161,0.147,1.833,8.17,1.115,TGT,2015,73785.0,5.29
12274,49154,2015-07-31,20.774,0.035,0.068,0.161,0.147,1.833,8.17,1.115,TGT,2015,73785.0,5.29
12275,49154,2015-08-31,19.723,0.035,0.068,0.161,0.147,1.833,8.17,1.115,TGT,2015,73785.0,5.29
12276,49154,2015-09-30,17.364,0.04,0.07,0.169,0.176,1.884,8.387,1.146,TGT,2015,73785.0,5.29
12277,49154,2015-10-31,17.038,0.04,0.07,0.169,0.176,1.884,8.387,1.146,TGT,2015,73785.0,5.29
12278,49154,2015-11-30,16.004,0.04,0.07,0.169,0.176,1.884,8.387,1.146,TGT,2015,73785.0,5.29
12279,49154,2015-12-31,16.244,0.039,0.07,0.175,0.179,1.961,8.347,1.167,TGT,2015,73785.0,5.29
12280,49154,2016-01-31,16.201,0.039,0.07,0.175,0.179,1.961,8.347,1.167,TGT,2016,69495.0,4.62
12281,49154,2016-02-29,17.55,0.039,0.07,0.175,0.179,1.961,8.347,1.167,TGT,2016,69495.0,4.62
12282,49154,2016-03-31,15.672,0.045,0.069,0.18,0.228,2.107,8.228,1.119,TGT,2016,69495.0,4.62
12283,49154,2016-04-30,15.143,0.045,0.069,0.18,0.228,2.107,8.228,1.119,TGT,2016,69495.0,4.62
12284,49154,2016-05-31,13.101,0.045,0.069,0.18,0.228,2.107,8.228,1.119,TGT,2016,69495.0,4.62
12285,49154,2016-06-30,13.174,0.045,0.071,0.182,0.222,2.079,8.316,1.13,TGT,2016,69495.0,4.62
12286,49154,2016-07-31,14.213,0.045,0.071,0.182,0.222,2.079,8.316,1.13,TGT,2016,69495.0,4.62
12287,49154,2016-08-31,13.243,0.045,0.071,0.182,0.222,2.079,8.316,1.13,TGT,2016,69495.0,4.62
12288,49154,2016-09-30,13.336,0.044,0.071,0.18,0.22,2.162,8.192,1.107,TGT,2016,69495.0,4.62
12289,49154,2016-10-31,13.346,0.044,0.071,0.18,0.22,2.162,8.192,1.107,TGT,2016,69495.0,4.62
12290,49154,2016-11-30,14.998,0.044,0.071,0.18,0.22,2.162,8.192,1.107,TGT,2016,69495.0,4.62
